Source,Target,Type,Id,Label,timeset,Weight,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1,d0
4629416923,4629416937,Undirected,4574,,,1,,,,30,"LINESTRING (56.0027143 30.3964627, 56.0023845 30.3968635, 56.0019309 30.3976098)",,,148.348,residential,پاسداران ۲,False,468407974
4629416923,5931396427,Undirected,4575,,,1,,,,,"LINESTRING (56.0016276 30.3986986, 56.0019424 30.3980167, 56.0018244 30.3979056, 56.0019309 30.3976098)",,,132.80900000000003,residential,امام خمینی ۱۶,False,"[628286354, 628286355]"
4629414732,4629416808,Undirected,4441,,,1,,,,,,,,65.581,tertiary,خیابان بهشتی,False,133914097
4629414732,4629416813,Undirected,4442,,,1,,,,30,"LINESTRING (55.9991718 30.3966837, 55.9997518 30.397031, 56.0003318 30.3973782)",,,135.43099999999998,residential,"['بهشتی ۲', 'شهید دستغیب ۹']",False,"[468407994, 628404357]"
854462423,4629416927,Undirected,55,,,1,,,,,,,,36.079,secondary,پاسداران,False,37201705
854462423,5925883075,Undirected,56,,,1,,,,,,,,34.014,secondary,پاسداران,False,37201705
854462423,4629416813,Undirected,57,,,1,,,,30,,,,43.532,residential,شهید دستغیب,False,133914116
854462423,4629416929,Undirected,58,,,1,,,,30,,,,71.301,residential,شهید دستغیب,False,133914116
4629416927,4629416936,Undirected,4576,,,1,,,,,,,,70.133,secondary,پاسداران,False,37201705
4629416927,4629416928,Undirected,4577,,,1,,,,30,,,,70.325,residential,پاسداران ۶,False,468407844
5925883075,5925883076,Undirected,8256,,,1,,,,,,,,26.053,residential,پاسداران ۸,False,627709619
4629416813,4629416817,Undirected,4532,,,1,,,,30,,,,7.61,residential,شهید دستغیب,False,133914116
4629416929,4629417185,Undirected,4580,,,1,,,,30,,,,20.692,residential,شهید دستغیب,False,133914116
854462425,4629416809,Undirected,59,,,1,,,,,,,,91.399,secondary,پاسداران,False,37201705
854462425,4629417209,Undirected,60,,,1,,,,,,,,83.589,secondary,پاسداران,False,37201705
854462425,4629416818,Undirected,61,,,1,,,,,,,,32.586,tertiary,خیابان جانبازان,False,627707165
854462425,4629417212,Undirected,62,,,1,,,,,,,,49.026,tertiary,خیابان جانبازان,False,627707165
4629416809,5925883073,Undirected,4523,,,1,,,,,,,,33.355,secondary,پاسداران,False,37201705
4629416809,4629417213,Undirected,4524,,,1,,,,30,,,,39.063,residential,پاسداران ۱۲,False,627707164
4629417209,4629417210,Undirected,4881,,,1,,,,30,,,,51.321,residential,پاسداران ۱۴,False,468407983
4629416818,4629416819,Undirected,4535,,,1,,,,,,,,21.033,tertiary,خیابان جانبازان,False,627707165
4629417212,4629417213,Undirected,4884,,,1,,,,30,,,,88.617,residential,جانبازان ۴۵,False,468407984
854462427,1474545836,Undirected,63,,,1,,,,,,,,91.535,primary,بلوار مفتح,True,133915977
854462427,4629417131,Undirected,64,,,1,,,,30,,,,78.046,residential,شهید عسگری,False,200911155
854462427,2108743409,Undirected,65,,,1,,,,,,,,46.752,primary,بلوار مفتح,True,133915977
1474545836,5923791787,Undirected,746,,,1,,,,,,,,37.954,primary,بلوار مفتح,True,133915977
1474545836,4629417130,Undirected,747,,,1,,,,30,,,,88.716,residential,مفتح ۱۲,False,1003919126
4629417131,4629417135,Undirected,4808,,,1,,,,30,,,,51.922,residential,شهید عسگری,False,200911155
2108743409,2108743416,Undirected,1065,,,1,,,,,"LINESTRING (56.0045946 30.3875031, 56.0045916 30.3874819, 56.0045969 30.3874611, 56.0046099 30.387443, 56.0046292 30.3874296, 56.0046525 30.3874225, 56.0046772 30.3874225)",,,14.225999999999999,primary,,True,468408006
854463329,4629414771,Undirected,66,,,1,,,,,,,,266.408,trunk,بلوار آیت الله سعیدی,True,71894070
854463329,9263261665,Undirected,67,,,1,,,,,,,,53.98,tertiary,خیابان ابوذر,False,631990173
854463329,2108743390,Undirected,68,,,1,,,,,"LINESTRING (56.0035973 30.3868573, 56.0034743 30.3867488, 56.0021389 30.385841)",,,179.961,trunk,بلوار آیت الله سعیدی,True,71894070
9263261665,9263261666,Undirected,11014,,,1,,,,,,,,40.063,residential,ابوذر ۲,False,1003912461
2108743390,2108743394,Undirected,1052,,,1,,,,,,,,27.455,trunk,بلوار آیت الله سعیدی,True,71894070
854463330,4629416909,Undirected,69,,,1,,,,,,,,47.39,tertiary,خیابان ابوذر,False,627732802
854463330,4629416904,Undirected,70,,,1,,,,,,,,73.099,tertiary,خیابان ابوذر,False,627732802
854463330,2108743480,Undirected,71,,,1,,,,30,"LINESTRING (55.9940158 30.3905043, 55.9950868 30.3909551, 55.9961577 30.3914059)",,,228.599,residential,"['جمهوری ۱۳', 'ابوذر ۱۶']",False,"[627733808, 468407835]"
4629416909,4629416910,Undirected,4560,,,1,,,,,,,,79.882,tertiary,خیابان ابوذر,False,627732802
4629416909,6789669401,Undirected,4561,,,1,,,,30,"LINESTRING (55.9984267 30.3919813, 55.9975589 30.3916008, 55.9964882 30.3910891)",,,210.777,residential,"['طالقانی ۲۰', 'ابوذر ۲۳']",False,"[627732800, 468407834]"
4629416904,6789669402,Undirected,4557,,,1,,,,30,"LINESTRING (55.9976367 30.3927893, 55.9965765 30.3923169, 55.9956445 30.3918919)",,,215.57,residential,"['ابوذر ۲۵', 'طالقانی ۲۲']",False,"[627732801, 468407833]"
2108743480,2108743500,Undirected,1104,,,1,,,,,"LINESTRING (55.9940158 30.3905043, 55.9935871 30.3910021, 55.9932881 30.3913177)",,,114.276,tertiary,بلوار جمهوری اسلامی,True,133914122
2108743480,4629416908,Undirected,1105,,,1,,,,,,,,49.802,tertiary,بلوار جمهوری اسلامی,True,133914122
854463331,4629416900,Undirected,72,,,1,,,,,,,,75.117,tertiary,خیابان ابوذر,False,628406400
854463331,4629416821,Undirected,73,,,1,,,,,,,,106.527,tertiary,خیابان ابوذر,False,628406400
854463331,4451035410,Undirected,74,,,1,,,,30,,,,96.8,residential,بو علی سینا,False,1004850703
854463331,6789669405,Undirected,75,,,1,,,,30,"LINESTRING (55.9961589 30.394248, 55.9952241 30.3937736, 55.9942044 30.3932554)",,,217.541,residential,"['ابوذر ۳۱', 'طالقانی ۲۸']",False,"[684301776, 133914027]"
4629416821,6781989477,Undirected,4537,,,1,,,,30,,,,105.455,residential,ابوذر 33,False,628406387
4451035410,4451035412,Undirected,2514,,,1,,,,30,,,,56.546,residential,,False,448048898
854463336,4451035405,Undirected,76,,,1,,,,,,,,61.562,tertiary,بلوار جمهوری اسلامی,True,133914122
854463336,1473508517,Undirected,77,,,1,,,,30,"LINESTRING (55.991925 30.3953641, 55.9909321 30.3949831, 55.9899392 30.394602)",,,208.463,residential,"['پامچال', 'جمهوری ۳۱']",False,"[628406393, 133914028]"
854463336,4451035407,Undirected,78,,,1,,,,,,,,70.133,tertiary,بلوار جمهوری اسلامی,True,133914122
1473508517,4629416823,Undirected,229,,,1,,,,,,,,57.182,tertiary,خیابان ابوذر,False,628406400
1473508517,1473508518,Undirected,230,,,1,,,,,,,,8.028,tertiary,خیابان ابوذر,False,628406400
4451035407,4451035409,Undirected,2509,,,1,,,,,,,,45.314,tertiary,بلوار جمهوری اسلامی,True,133914122
854463337,4451035410,Undirected,79,,,1,,,,30,,,,115.685,residential,بو علی سینا,False,133914036
854463337,4451035413,Undirected,80,,,1,,,,,,,,63.758,tertiary,بلوار جمهوری اسلامی,True,133914122
854463337,2108743503,Undirected,81,,,1,,,,,,,,70.039,tertiary,بلوار جمهوری اسلامی,True,133914122
4451035413,4629416897,Undirected,2519,,,1,,,,,,,,54.874,tertiary,بلوار جمهوری اسلامی,True,133914122
2108743503,4629416900,Undirected,1115,,,1,,,,30,"LINESTRING (55.9947318 30.392756, 55.9938356 30.3922982, 55.9928093 30.391774)",,,214.302,residential,"['جمهوری ۱۹', 'ابوذر ۲۲']",False,"[631990176, 468407830]"
854463341,2108743874,Undirected,82,,,1,,,,,,,,41.661,tertiary,پرستار,False,200911248
854463341,2108743841,Undirected,83,,,1,,,,,"LINESTRING (55.9836199 30.4025785, 55.9836831 30.4024053, 55.9836779 30.4022238)",,,40.378,tertiary,,True,200911210
854463341,2108743860,Undirected,84,,,1,,,,,"LINESTRING (55.9840132 30.4024431, 55.9838119 30.4025008, 55.9836199 30.4025785)",,,40.684,tertiary,,True,200911216
2108743874,4451035246,Undirected,1277,,,1,,,,30,,,,127.497,residential,پرستار ۱,False,628932084
2108743874,2108743883,Undirected,1278,,,1,,,,,"LINESTRING (55.9825876 30.4031398, 55.9828949 30.4029522, 55.9832504 30.4027755)",,,75.457,tertiary,پرستار,False,200911248
